Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,GCAM,Low Demand,EJ/yr,,,,,0.0178,0.0321,0.0471,0.0817,0.148,0.2495,0.3328
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.02,0.0418,0.073,0.119,0.1875,0.2623,0.3023
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0173,0.0337,0.0578,0.1077,0.1939,0.3159,0.4026
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.0247,0.0404,0.0615,0.0949,0.1435,0.2173,0.2361
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.028,0.0455,0.071,0.1105,0.164,0.2384,0.2543
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0281,0.046,0.0724,0.1005,0.1588,0.2442,0.266
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.0253,0.0425,0.0681,0.1025,0.1509,0.223,0.2405
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.0266,0.0427,0.0773,0.1221,0.1616,0.2246,0.2383
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0251,0.0414,0.065,0.0974,0.1438,0.2095,0.2206
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0242,0.0386,0.0533,0.0875,0.1392,0.2175,0.2343
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.0135,0.0205,0.0378,0.0708,0.1269,0.225,0.2869
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0143,0.0224,0.0391,0.069,0.1223,0.2064,0.2474
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.014,0.0219,0.0383,0.0614,0.117,0.2127,0.2684
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.0138,0.0209,0.0363,0.0631,0.1073,0.1784,0.2126
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.0203,0.0308,0.0507,0.0865,0.1458,0.2547,0.3756
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0136,0.0208,0.0384,0.0695,0.1234,0.2004,0.2398
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0132,0.0202,0.0371,0.0661,0.1266,0.2507,0.3514
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Below 2°C,Mt CO2/yr,,,,,19.2848,22.8511,21.324,18.2099,15.4979,14.6922,13.9384
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,20.5089,24.6057,24.36,25.8543,29.8185,33.565,39.8282
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,20.5893,24.7672,24.5533,21.1242,19.4847,18.6999,18.6563
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Fragmented World,Mt CO2/yr,,,,,20.2756,23.3329,22.9561,24.9422,30.0749,33.4446,39.2089
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Low Demand,Mt CO2/yr,,,,,19.4772,22.7528,19.3192,14.6175,12.7029,10.322,7.183
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,19.8274,23.0215,23.8949,23.4528,23.6638,23.1172,23.8737
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,19.6787,23.165,21.0391,16.8021,15.7431,11.1208,8.0652
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,,,,,20.3935,23.6157,25.3796,27.4269,25.9524,25.7364,26.9191
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,19.9929,22.8521,24.1156,26.9002,28.7658,31.1539,38.4217
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,19.9353,22.7618,23.9739,30.7187,30.1437,28.293,28.0771
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,,,,,20.2768,23.3194,24.5928,27.7919,26.7864,26.6038,30.347
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,,,,,21.0995,25.5729,56.4947,45.5247,34.7312,26.1296,16.819
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,19.9574,23.6153,26.5279,29.1947,31.1224,33.4955,39.4586
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,20.3224,23.6209,21.1257,21.0455,18.836,13.7932,8.9719
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,,,,,39.0312,51.2387,75.1694,65.7309,52.5517,40.2407,38.1495
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,32.4237,33.6114,41.2341,56.8666,113.8646,140.0701,144.5273
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,38.4822,33.5402,42.4616,108.1659,61.5655,44.8257,42.6175
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,,,,,31.4147,32.2923,40.0212,48.3664,89.2302,119.7873,131.0917
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Low Demand,Mt CO2/yr,,,,,32.829,47.554,42.1451,41.694,42.87,39.1481,34.1514
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,33.6688,32.4533,42.5088,59.9041,74.3779,77.9643,85.6673
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,29.4719,39.6673,35.5746,32.5022,31.6196,23.6381,13.6806
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,GCAM,Below 2°C,Mt CO2/yr,,,,,0.0,0.0073,0.064,0.179,0.2684,0.375,0.6293
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,0.0,0.0003,0.0008,0.0022,0.0047,0.0088,0.0149
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0,0.0002,0.0007,0.1301,0.2878,0.4248,0.6912
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,GCAM,Fragmented World,Mt CO2/yr,,,,,0.0,0.0002,0.0007,0.0554,0.1367,0.2341,0.3802
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,GCAM,Low Demand,Mt CO2/yr,,,,,0.0,0.0047,0.0423,0.129,0.2468,0.4598,0.6922
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0,0.0003,0.0008,0.0025,0.0056,0.0113,0.0206
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0,0.006,0.0817,0.2239,0.4385,0.6907,0.9095
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,,,,,0.0,0.0,0.0011,0.0039,0.012,0.0313,0.493
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0879,0.1983,0.3361,1.1316
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,,,,,0.0,0.0,0.0,0.0015,0.0069,0.0212,0.062
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,,,,,0.0,0.0,2.2183,3.1675,3.4837,4.204,5.1174
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.5985,0.5572,1.2752,2.3166,2.2139
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0023
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,GCAM,Below 2°C,EJ/yr,,,,,0.0034,0.0061,0.0088,0.0117,0.0154,0.0197,0.0235
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0032,0.0059,0.0096,0.015,0.0222,0.032,0.0447
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0026,0.0049,0.0079,0.0114,0.0149,0.0188,0.0217
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,GCAM,Fragmented World,EJ/yr,,,,,0.0024,0.0046,0.0074,0.0118,0.0179,0.026,0.0364
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,GCAM,Low Demand,EJ/yr,,,,,0.0049,0.0083,0.0101,0.0123,0.0157,0.0192,0.024
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.003,0.0057,0.0095,0.0144,0.0209,0.0286,0.0383
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0049,0.0083,0.0099,0.0125,0.0164,0.021,0.0247
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.0004,0.0006,0.0012,0.0019,0.0026,0.0033,0.0048
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0013,0.0026,0.0042,0.0062,0.0075,0.0118,0.0148
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0011,0.0022,0.0035,0.0019,0.0023,0.003,0.0044
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.0006,0.0012,0.0019,0.0032,0.0041,0.0059,0.0074
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.0039,0.0078,0.0112,0.015,0.0236,0.0328,0.0388
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.001,0.0019,0.0031,0.0047,0.0058,0.0082,0.0127
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0006,0.0009,0.0011,0.0016,0.002,0.0029,0.0052
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.0064,0.0114,0.0173,0.0231,0.028,0.0318,0.0327
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0038,0.0072,0.0121,0.0178,0.0241,0.0314,0.0407
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0032,0.0059,0.01,0.0213,0.0246,0.0273,0.0269
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.0033,0.0062,0.0105,0.0155,0.021,0.027,0.0342
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.0229,0.0375,0.0381,0.0438,0.0407,0.0302,0.0206
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0038,0.0073,0.0122,0.0181,0.0242,0.03,0.0368
Nepal,NP,NPL,Transition Pathways,Primary energy,Gas,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0127,0.0215,0.0296,0.0342,0.0307,0.0181,0.0146
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,GCAM,Below 2°C,EJ/yr,,,,,0.0256,0.0515,0.0807,0.0909,0.075,0.0599,0.0517
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0218,0.0445,0.0852,0.1235,0.1196,0.1138,0.1215
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0216,0.0445,0.0864,0.1086,0.0916,0.0719,0.0605
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,GCAM,Fragmented World,EJ/yr,,,,,0.0252,0.0501,0.0858,0.1169,0.118,0.1214,0.1377
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,GCAM,Low Demand,EJ/yr,,,,,0.0268,0.05,0.0662,0.0683,0.0546,0.0406,0.0343
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0252,0.0495,0.086,0.1092,0.103,0.099,0.106
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0267,0.0514,0.0699,0.0698,0.0518,0.0364,0.028
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.0088,0.0098,0.0116,0.0117,0.0135,0.0143,0.0179
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0114,0.0133,0.0149,0.0158,0.0154,0.017,0.0216
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0113,0.0132,0.0148,0.0145,0.0144,0.0159,0.0201
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.0099,0.0116,0.0133,0.0124,0.0148,0.0156,0.0196
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.0208,0.0259,0.0377,0.0588,0.1359,0.1157,0.0808
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0119,0.0142,0.0163,0.0167,0.0153,0.0175,0.023
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.009,0.0099,0.0113,0.0172,0.0139,0.0162,0.0236
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.0526,0.0686,0.0823,0.0942,0.1066,0.1139,0.1272
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0348,0.0458,0.06,0.0772,0.0882,0.0931,0.1074
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0341,0.0446,0.0584,0.0865,0.0985,0.1081,0.1199
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.0415,0.0543,0.0675,0.0786,0.087,0.0925,0.106
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.0818,0.1129,0.1134,0.13,0.1295,0.1099,0.0761
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.045,0.0593,0.0717,0.0835,0.0993,0.1062,0.1221
Nepal,NP,NPL,Transition Pathways,Final energy,Gases,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0655,0.0896,0.1083,0.1203,0.1189,0.082,0.0627
Nepal,NP,NPL,Transition Pathways,Primary energy,Geothermal,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.0,0.0001,0.0001,0.0003,0.0004,0.0008,0.0013
Nepal,NP,NPL,Transition Pathways,Primary energy,Geothermal,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0,0.0001,0.0003,0.0002,0.0004,0.0004,0.0006
Nepal,NP,NPL,Transition Pathways,Primary energy,Geothermal,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0,0.0001,0.0001,0.0001,0.0002,0.0005,0.001
Nepal,NP,NPL,Transition Pathways,Primary energy,Geothermal,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.0,0.0001,0.0001,0.0002,0.0003,0.0003,0.0005
Nepal,NP,NPL,Transition Pathways,Primary energy,Geothermal,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.0001,0.0003,0.0007,0.001,0.0017,0.0035,0.0061
Nepal,NP,NPL,Transition Pathways,Primary energy,Geothermal,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0,0.0001,0.0001,0.0002,0.0004,0.0004,0.0006
Nepal,NP,NPL,Transition Pathways,Primary energy,Geothermal,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0,0.0001,0.0001,0.0004,0.0008,0.0019,0.0037
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.0002,0.0006,0.0013,0.0022,0.0025,0.0038,0.0066
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0003,0.0007,0.0014,0.0022,0.0028,0.0045,0.008
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0003,0.0007,0.0014,0.0023,0.0026,0.0039,0.0066
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.0003,0.0007,0.0014,0.0023,0.0029,0.0043,0.0076
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.0002,0.0006,0.0016,0.0024,0.0029,0.0047,0.0065
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0003,0.0006,0.0013,0.0022,0.0027,0.0045,0.0081
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0002,0.0006,0.0011,0.0019,0.0021,0.0029,0.0053
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.0004,0.0009,0.0013,0.0018,0.0021,0.0027,0.004
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0004,0.0008,0.0014,0.0019,0.0027,0.004,0.0057
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0003,0.0006,0.001,0.0015,0.0016,0.002,0.0028
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.0003,0.0006,0.001,0.0014,0.0018,0.0027,0.0039
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.0015,0.0029,0.0039,0.0047,0.0065,0.0101,0.0163
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0004,0.0008,0.0013,0.0017,0.0025,0.0038,0.0054
Nepal,NP,NPL,Transition Pathways,Final energy,Heat,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0007,0.0014,0.0018,0.0026,0.0044,0.0079,0.0137
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,GCAM,Below 2°C,EJ/yr,,,,,0.0275,0.0291,0.0328,0.0396,0.048,0.0531,0.0547
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0273,0.0288,0.0346,0.0455,0.0584,0.0681,0.0699
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0274,0.029,0.0349,0.0444,0.0512,0.0552,0.055
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,GCAM,Fragmented World,EJ/yr,,,,,0.0294,0.0328,0.0396,0.05,0.0605,0.0679,0.0696
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,GCAM,Low Demand,EJ/yr,,,,,0.0271,0.0281,0.0284,0.0341,0.0426,0.0501,0.0527
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0283,0.0314,0.0387,0.0492,0.0591,0.0643,0.064
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.0267,0.0269,0.0288,0.0359,0.0454,0.0524,0.0539
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.0171,0.0153,0.0137,0.0125,0.0113,0.0103,0.0095
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0167,0.0151,0.0136,0.0124,0.0121,0.0125,0.01
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0167,0.0151,0.0136,0.0124,0.0112,0.0103,0.0095
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.0171,0.0153,0.0137,0.0125,0.0113,0.0103,0.0095
Nepal,NP,NPL,Transition Pathways,Primary energy,Hydro,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.017,0.0152,0.0137,0.0124,0.0113,0.0106,0.0111
