,2015,2019,2022,2025,2030
5.1.1.c. Gender Empowerment Measurement (Index) (Index),5.1.1.c. Gender Empowerment Measurement (Index) (Index),5.1.1.c. Gender Empowerment Measurement (Index) (Index),5.1.1.c. Gender Empowerment Measurement (Index) (Index),5.1.1.c. Gender Empowerment Measurement (Index) (Index)
Nepal,0.57,0.6,0.63,0.66,0.69
Source(5.1.1.c. Gender Empowerment Measurement (Index)),National Human Development Report (NHDR)
Unit(5.1.1.c. Gender Empowerment Measurement (Index)),Index
