,2015,2019,2022,2025,2030
5.a.1.ii Women's ownership of property (land and house)  (NA),5.a.1.ii Women's ownership of property (land and house)  (NA),5.a.1.ii Women's ownership of property (land and house)  (NA),5.a.1.ii Women's ownership of property (land and house)  (NA),5.a.1.ii Women's ownership of property (land and house)  (NA)
Nepal,26,29.7,32.5,35.3,40
Source(5.a.1.ii Women's ownership of property (land and house) ),"Census, Management Information System (MIS)"
Unit(5.a.1.ii Women's ownership of property (land and house) ),NA
