,2015,2019,2022,2025,2030
5.1.1.b. Gender Inequality Index (Index),5.1.1.b. Gender Inequality Index (Index),5.1.1.b. Gender Inequality Index (Index),5.1.1.b. Gender Inequality Index (Index),5.1.1.b. Gender Inequality Index (Index)
Nepal,0.49,0.38,0.29,0.2,0.05
Source(5.1.1.b. Gender Inequality Index),National Human Development Report (NHDR)
Unit(5.1.1.b. Gender Inequality Index),Index
